DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,QualifierCode,MethodCode,SourceCode,QualityControlLevelCode,CensorCode
0,11/1/2017 16:35,7,11/1/2017 23:35,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 16:40,7,11/1/2017 23:40,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 16:45,7,11/1/2017 23:45,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 16:50,7,11/1/2017 23:50,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 16:55,7,11/1/2017 23:55,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:00,7,11/2/2017 0:00,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:05,7,11/2/2017 0:05,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:10,7,11/2/2017 0:10,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:15,7,11/2/2017 0:15,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:20,7,11/2/2017 0:20,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:25,7,11/2/2017 0:25,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:30,7,11/2/2017 0:30,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:35,7,11/2/2017 0:35,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:40,7,11/2/2017 0:40,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:45,7,11/2/2017 0:45,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:50,7,11/2/2017 0:50,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 17:55,7,11/2/2017 0:55,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 18:00,7,11/2/2017 1:00,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
0,11/1/2017 18:05,7,11/2/2017 1:05,Siphon7,GPM_15min,0,IS203_EM,TNC,1,nc
